execution_date,side,symbol,status,requested_shares,filled_shares
2019-01-02,target,SZ000636,held,46300.0,46300.0
2019-01-02,target,SH600097,held,48500.0,48500.0
2019-01-02,target,SH600230,held,30900.0,30900.0
2019-01-02,target,SZ300159,held,107900.0,107900.0
2019-01-02,target,SH600596,held,46700.0,46700.0
2019-01-02,target,SH600382,held,64700.0,64700.0
2019-01-02,target,SZ300061,held,83300.0,83300.0
2019-01-02,target,SZ000910,held,48400.0,48400.0
2019-01-02,target,SZ000791,held,99000.0,99000.0
2019-01-02,target,SH603980,held,42400.0,42400.0
2019-01-02,target,SH601126,held,97400.0,97400.0
2019-01-02,target,SZ002884,held,23900.0,23900.0
2019-01-02,target,SZ002530,held,76900.0,76900.0
2019-01-02,target,SH600383,held,52000.0,52000.0
2019-01-02,target,SZ002396,held,28900.0,28900.0
2019-01-02,target,SZ002541,held,71000.0,71000.0
2019-01-02,target,SH603669,held,50000.0,50000.0
2019-01-02,target,SH600668,held,42300.0,42300.0
2019-01-02,target,SZ300145,held,153800.0,153800.0
2019-01-02,target,SH600720,held,77000.0,77000.0
2019-02-01,sell,SZ002396,held,28900.0,28900.0
2019-02-01,sell,SH600383,held,52000.0,52000.0
2019-02-01,sell,SH601126,held,97400.0,97400.0
2019-02-01,target,SH600097,held,900.0,900.0
2019-02-01,target,SZ000636,held,2800.0,2800.0
2019-02-01,target,SH600230,held,800.0,800.0
2019-02-01,target,SZ300159,held,1700.0,1700.0
2019-02-01,target,SH600596,held,500.0,500.0
2019-02-01,target,SZ000791,held,2100.0,2100.0
2019-02-01,target,SH600382,held,2500.0,2500.0
2019-02-01,target,SZ002530,held,14000.0,14000.0
2019-02-01,target,SZ000910,held,1600.0,1600.0
2019-02-01,target,SH603980,held,700.0,700.0
2019-02-01,target,SH600668,held,1000.0,1000.0
2019-02-01,target,SZ300145,held,13100.0,13100.0
2019-02-01,target,SZ002884,none,,
2019-02-01,target,SZ002517,held,160500.0,160500.0
2019-02-01,target,SH603669,held,2600.0,2600.0
2019-02-01,target,SZ001914,held,66700.0,66700.0
2019-02-01,target,SZ300061,held,9300.0,9300.0
2019-02-01,target,SH600720,held,2600.0,2600.0
2019-02-01,target,SZ002359,held,77000.0,77000.0
2019-02-01,target,SZ002541,none,,
2019-03-01,sell,SZ002359,held,77000.0,77000.0
2019-03-01,sell,SZ002517,held,160500.0,160500.0
2019-03-01,sell,SZ300061,held,74000.0,74000.0
2019-03-01,sell,SZ300145,held,166900.0,166900.0
2019-03-01,sell,SH603669,held,52600.0,52600.0
2019-03-01,target,SH600097,held,4600.0,4600.0
2019-03-01,target,SZ000636,held,4400.0,4400.0
2019-03-01,target,SH600230,held,1200.0,1200.0
2019-03-01,target,SH600596,held,1900.0,1900.0
2019-03-01,target,SZ300159,held,2500.0,2500.0
2019-03-01,target,SZ000791,held,7000.0,7000.0
2019-03-01,target,SH600382,held,2100.0,2100.0
2019-03-01,target,SH603980,held,2800.0,2800.0
2019-03-01,target,SZ002884,held,2000.0,2000.0
2019-03-01,target,SZ000910,none,,
2019-03-01,target,SZ002541,held,7000.0,7000.0
2019-03-01,target,SH600668,held,3000.0,3000.0
2019-03-01,target,SH600383,held,54600.0,54600.0
2019-03-01,target,SZ002406,held,98500.0,98500.0
2019-03-01,target,SH601126,held,99600.0,99600.0
2019-03-01,target,SZ002396,held,29400.0,29400.0
2019-03-01,target,SH600720,held,7400.0,7400.0
2019-03-01,target,SZ002530,held,17700.0,17700.0
2019-03-01,target,SZ001914,held,8500.0,8500.0
2019-03-01,target,SH603858,held,22000.0,22000.0
2019-04-01,sell,SZ000636,held,44700.0,44700.0
2019-04-01,sell,SZ000791,held,108100.0,108100.0
2019-04-01,sell,SZ001914,held,75200.0,75200.0
2019-04-01,sell,SZ002396,held,29400.0,29400.0
2019-04-01,sell,SZ002530,held,73200.0,73200.0
2019-04-01,sell,SZ002884,held,25900.0,25900.0
2019-04-01,sell,SZ300159,held,107100.0,107100.0
2019-04-01,sell,SH600230,held,30500.0,30500.0
2019-04-01,sell,SH600382,held,69300.0,69300.0
2019-04-01,sell,SH600383,held,54600.0,54600.0
2019-04-01,sell,SH600720,held,81800.0,81800.0
2019-04-01,sell,SH601126,held,99600.0,99600.0
2019-04-01,target,SH600097,held,1000.0,1000.0
2019-04-01,target,SH600823,held,131900.0,131900.0
2019-04-01,target,SH600596,held,700.0,700.0
2019-04-01,target,SH600971,held,89400.0,89400.0
2019-04-01,target,SZ000910,none,,
2019-04-01,target,SH601006,held,83800.0,83800.0
2019-04-01,target,SH603980,held,1400.0,1400.0
2019-04-01,target,SZ300230,held,118700.0,118700.0
2019-04-01,target,SZ000919,held,89400.0,89400.0
2019-04-01,target,SH600668,held,2000.0,2000.0
2019-04-01,target,SZ300061,held,82300.0,82300.0
2019-04-01,target,SH600782,held,113900.0,113900.0
2019-04-01,target,SZ002406,held,7300.0,7300.0
2019-04-01,target,SZ000402,held,80700.0,80700.0
2019-04-01,target,SH603858,held,2100.0,2100.0
2019-04-01,target,SH600051,held,101800.0,101800.0
2019-04-01,target,SH600884,held,46700.0,46700.0
2019-04-01,target,SZ002541,none,,
2019-04-01,target,SZ002150,held,86000.0,86000.0
2019-04-01,target,SH600801,held,29400.0,29400.0
2019-05-06,sell,SZ000402,held,80700.0,80700.0
2019-05-06,sell,SZ000910,held,46800.0,46800.0
2019-05-06,sell,SZ002150,held,86000.0,86000.0
2019-05-06,sell,SZ002541,held,78000.0,78000.0
2019-05-06,sell,SZ300061,held,82300.0,82300.0
2019-05-06,sell,SZ300230,held,118700.0,118700.0
2019-05-06,sell,SH600051,held,101800.0,101800.0
2019-05-06,sell,SH600097,held,53200.0,53200.0
2019-05-06,sell,SH600596,held,49800.0,49800.0
2019-05-06,sell,SH600668,held,48300.0,48300.0
2019-05-06,sell,SH600782,held,113900.0,113900.0
2019-05-06,sell,SH600801,held,29400.0,29400.0
2019-05-06,sell,SH600823,held,131900.0,131900.0
2019-05-06,sell,SH600884,held,46700.0,46700.0
2019-05-06,sell,SH600971,held,89400.0,89400.0
2019-05-06,sell,SH603858,canceled,24100.0,0.0
2019-05-06,sell,SH603980,held,43100.0,43100.0
2019-05-06,target,SZ002195,held,122100.0,122100.0
2019-05-06,target,SH600261,held,154500.0,154500.0
2019-05-06,target,SZ000919,held,12500.0,12500.0
2019-05-06,target,SH600269,held,138500.0,138500.0
2019-05-06,target,SH600382,held,64500.0,64500.0
2019-05-06,target,SZ000581,held,32500.0,32500.0
2019-05-06,target,SZ000636,held,51800.0,51800.0
2019-05-06,target,SH600173,held,142400.0,142400.0
2019-05-06,target,SH601006,held,5400.0,5400.0
2019-05-06,target,SZ000999,held,22700.0,22700.0
2019-05-06,target,SH600677,held,43800.0,43800.0
2019-05-06,target,SH600694,held,22500.0,22500.0
2019-05-06,target,SZ002406,held,2900.0,2900.0
2019-05-06,target,SH600587,held,41100.0,41100.0
2019-05-06,target,SZ002884,held,22600.0,22600.0
2019-05-06,target,SZ002635,held,46600.0,46600.0
2019-05-06,target,SH600603,held,131100.0,131100.0
2019-05-06,target,SH603585,held,28000.0,28000.0
2019-05-06,target,SH600426,held,42500.0,42500.0
2019-05-06,target,SH600328,none,,
2019-06-03,sell,SH600426,held,42500.0,42500.0
2019-06-03,sell,SH600587,held,41100.0,41100.0
2019-06-03,sell,SH603585,held,28000.0,28000.0
2019-06-03,sell,SH603858,held,24100.0,24100.0
2019-06-03,target,SZ002195,held,2500.0,2500.0
2019-06-03,target,SH600261,held,29800.0,29800.0
2019-06-03,target,SZ000919,held,5600.0,5600.0
2019-06-03,target,SZ000636,none,,
2019-06-03,target,SH600269,held,3400.0,3400.0
2019-06-03,target,SH600382,held,3900.0,3900.0
2019-06-03,target,SZ002884,held,4800.0,4800.0
