item_id,strategy_name,primary_url,author,source_hash,lineage_id,lineage_representative_item_id,lineage_size,nearest_item_id,relation,source_similarity,core_function_similarity,shared_post,shared_author
2020年度精选策略/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长,https://www.joinquant.com/post/15565,cicikml,2bde9f0fc97918a421aa03b9d731de9a45d3d550ae2a195deb18962ac3e22471,L-4c3601b0a3,2020年度精选策略/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,2,2020年度精选策略/09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt,probable-variant,0.668947,0.3,false,true
2020年度精选策略/02 我好像破解了聚宽擂台排第一的策略？！.txt,我好像破解了聚宽擂台排第一的策略？！,https://www.joinquant.com/post/11593,止一之路,b015412e4dd65380d198bfaae05338d27c735d4f3757340d8fd7f91f8b1e1a76,L-cae03ea82c,2020年度精选策略/02 我好像破解了聚宽擂台排第一的策略？！.txt,2,2020年度精选策略/19 招行_海天配对策略（学习招行伊利配对）.txt,near-duplicate,1.0,1.0,false,false
2020年度精选策略/03 机器学习多因子策略.txt,机器学习多因子策略,https://www.joinquant.com/post/10778,JoinQuant量化课堂,474c197bbaa260721c32122ba86d117a285515e49481c965391f630dbb6c319c,L-fb42931d77,2020年度精选策略/03 机器学习多因子策略.txt,2,2020年度精选策略/43 无模型评估的多因子模型.txt,near-duplicate,1.0,1.0,false,false
2020年度精选策略/04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt,趋势交易能赚钱吗？商品期货动量效应挖掘初探,https://www.joinquant.com/post/15757,cicikml,3fa8a5d4c43eb6a540975d74a2121569d42a57bcf8404b95f763ec1e0b94c50b,L-3926b0ee0e,2020年度精选策略/04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt,1,2020年度精选策略/17 商品期货截面动量模型，真的靠谱吗？.txt,independent,0.62483,0.5,false,true
2020年度精选策略/05 兄台且慢，去天台排队不如看看这个策略先.txt,兄台且慢，去天台排队不如看看这个策略先,https://www.joinquant.com/post/15002,K线放荡不羁,9124f05eadeebaeec72fb757eb0d2ef7c7204eb45c261e501c7a61a5fa658a61,L-46e39ea221,2020年度精选策略/05 兄台且慢，去天台排队不如看看这个策略先.txt,1,2020年度精选策略/77 RSRS大盘择时优化.txt,independent,0.446026,0.0,false,false
2020年度精选策略/06 为什么股票市值是当前的样子？.txt,为什么股票市值是当前的样子？,https://www.joinquant.com/post/11624,止一之路,63fd1990ff56411c770943ae34fa1ce0b4875ab7dd469d83d4c06f8af3272e33,L-8ec1ffedca,2020年度精选策略/06 为什么股票市值是当前的样子？.txt,1,2020年度精选策略/43 无模型评估的多因子模型.txt,independent,0.816143,0.142857,false,false
2020年度精选策略/07 穿越牛熊基业长青的价值精选策略.txt,穿越牛熊基业长青的价值精选策略,https://www.joinquant.com/post/13382,拉姆达投资,b436e0b2be52df829654d011d5b7bcb97b11af78bb8b489bbc82975b99a77c79,L-c7b7daddba,2020年度精选策略/07 穿越牛熊基业长青的价值精选策略.txt,1,2025年度精选策略/87.穿越牛熊基业长青的价值精选策略（小资本也有大作为）.txt,independent,0.735211,0.235294,false,false
2020年度精选策略/08 MACD单因子多头策略.txt,MACD单因子多头策略,https://www.joinquant.com/post/13760,江哥学量化,d6992d0ff32606cdfbcbd7033f57ed78aa93f052a22fe0be5bac71da4e33421c,L-f0cfdafce0,2020年度精选策略/08 MACD单因子多头策略.txt,35,2020年度精选策略/94 PE和PB策略.txt,near-duplicate,0.96615,0.925926,false,false
2020年度精选策略/09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt,商品期货 多品种日频双均线模型 作为给入门者的小礼物,https://www.joinquant.com/post/15556,cicikml,bffaa16e846345101b10c57f791b4a567abcfe69ac81520b8c65b29c04051864,L-4c3601b0a3,2020年度精选策略/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,2,2020年度精选策略/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,probable-variant,0.668947,0.3,false,true
2020年度精选策略/10 追三板策略.txt,追三板策略,https://www.joinquant.com/post/12648,etrobot,e3dab6491015d728eff7dec5690dbbdef5880498937a8281b44f0ec64b610def,L-6addd3f9e3,2020年度精选策略/10 追三板策略.txt,1,2023年度精选策略/65.PB-POE+双均线--加入jq以来第一个成功的交易策略 一.txt,independent,0.097246,0.0,false,false
