family,fold,selection_date,train_start,train_end,test_start,test_end,test_sessions,selected_config,train_sharpe,train_target_changes
dual-ma,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,dual-ma__fast-20-slow-100,-0.37376320032302757,7
dual-ma,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,dual-ma__fast-50-slow-100,0.3046171179527254,4
dual-ma,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,dual-ma__fast-50-slow-100,0.38671740323899595,4
dual-ma,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,dual-ma__fast-50-slow-100,0.25686402252210255,4
dual-ma,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,dual-ma__fast-50-slow-100,0.9233850273192524,4
dual-ma,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,dual-ma__fast-50-slow-100,1.0301319946464584,5
dual-ma,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,dual-ma__fast-50-slow-100,0.9027629868475645,7
dual-ma,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,dual-ma__fast-10-slow-50,0.6926579649588417,11
macd-cross,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,macd-cross__fast-12-signal-9-slow-26,0.09471658679604962,36
macd-cross,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,macd-cross__fast-12-signal-9-slow-26,0.3845764339351956,36
macd-cross,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,macd-cross__fast-8-signal-5-slow-21,0.28649325947676463,46
macd-cross,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,macd-cross__fast-8-signal-5-slow-21,0.8079902466075435,50
macd-cross,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,macd-cross__fast-12-signal-9-slow-26,0.4944189834833558,39
macd-cross,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,macd-cross__fast-12-signal-9-slow-26,0.6383844049993241,39
macd-cross,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,macd-cross__fast-12-signal-9-slow-26,0.4519690780545757,37
macd-cross,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,macd-cross__fast-12-signal-9-slow-26,0.9865686584925082,37
macd-cross,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,macd-cross__fast-12-signal-9-slow-26,1.3357699489652985,32
macd-cross,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,macd-cross__fast-12-signal-9-slow-26,1.4838534528505445,30
macd-cross,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,macd-cross__fast-12-signal-9-slow-26,1.6123768992196579,31
trix,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,trix__period-9-signal-9,0.11622579331656006,34
trix,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,trix__period-15-signal-5,0.3032571658778341,26
trix,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,trix__period-9-signal-9,0.12228252348575083,32
trix,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,trix__period-9-signal-9,0.7683876246346356,34
trix,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,trix__period-9-signal-9,0.40298038078259485,35
trix,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,trix__period-9-signal-9,0.48253013396756106,35
trix,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,trix__period-15-signal-9,0.12669813988231665,27
trix,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,trix__period-15-signal-9,0.8298139681739224,26
trix,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,trix__period-15-signal-9,1.17516476918337,22
trix,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,trix__period-15-signal-9,1.2635218721140427,22
trix,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,trix__period-9-signal-9,1.5153253777609295,29
adx-dmi,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,adx-dmi__period-10-threshold-30,0.721306772956112,16
adx-dmi,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,adx-dmi__period-10-threshold-30,0.8115045025370617,15
adx-dmi,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,adx-dmi__period-10-threshold-30,0.8608299030397756,12
adx-dmi,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,adx-dmi__period-10-threshold-30,0.9877354927295695,14
adx-dmi,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,adx-dmi__period-14-threshold-20,0.7023945909951618,20
adx-dmi,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,adx-dmi__period-14-threshold-20,0.7893103168462983,19
adx-dmi,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,adx-dmi__period-20-threshold-20,0.8141118313970366,9
adx-dmi,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,adx-dmi__period-14-threshold-20,1.3459349590094578,14
adx-dmi,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,adx-dmi__period-14-threshold-20,1.4217589179137242,20
adx-dmi,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,adx-dmi__period-14-threshold-20,1.540118835074082,22
adx-dmi,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,adx-dmi__period-14-threshold-20,1.6009831108932842,23
aroon,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,aroon__period-25-threshold-70,0.9940976468979259,16
aroon,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,aroon__period-25-threshold-70,1.0103354140900356,17
aroon,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,aroon__period-25-threshold-80,0.6461932535487244,20
aroon,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,aroon__period-14-threshold-80,1.159055928395825,36
aroon,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,aroon__period-14-threshold-80,0.5904919076566246,41
aroon,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,aroon__period-14-threshold-80,0.6710830119448693,40
aroon,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,aroon__period-14-threshold-80,0.43328591004182354,44
aroon,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,aroon__period-50-threshold-80,1.0184835431340078,10
aroon,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,aroon__period-50-threshold-80,1.1648695733727414,10
aroon,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,aroon__period-25-threshold-60,1.3426697626377224,24
aroon,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,aroon__period-25-threshold-70,1.3242949610572674,27
supertrend,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,supertrend__multiplier-2-period-10,0.06429931245469958,26
supertrend,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,supertrend__multiplier-2-period-7,0.3523662158193832,26
supertrend,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,supertrend__multiplier-2-period-7,-0.4124263984574973,28
supertrend,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,supertrend__multiplier-2-period-7,0.4407849395302519,30
supertrend,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,supertrend__multiplier-3-period-7,0.2310041946522877,18
supertrend,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,supertrend__multiplier-3-period-7,0.26077389898719555,17
supertrend,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,supertrend__multiplier-3-period-7,0.2712393241972646,16
supertrend,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,supertrend__multiplier-3-period-7,0.8633031407301999,16
supertrend,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,supertrend__multiplier-3-period-7,1.0735572209014772,14
supertrend,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,supertrend__multiplier-3-period-7,1.166018793867501,14
supertrend,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,supertrend__multiplier-3-period-7,1.3593283091918489,13
tsmom-monthly,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,tsmom-monthly__lookback-126,-0.8353091665237365,6
tsmom-monthly,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,tsmom-monthly__lookback-252,-0.6156976056687395,3
tsmom-monthly,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,tsmom-monthly__lookback-252,-0.6156976056687395,3
tsmom-monthly,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,tsmom-monthly__lookback-252,-0.6156976056687395,4
tsmom-monthly,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,tsmom-monthly__lookback-252,-0.6156976056687395,4
tsmom-monthly,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,tsmom-monthly__lookback-126,-0.575717876562511,4
tsmom-monthly,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,tsmom-monthly__lookback-189,-0.518119159963465,4
tsmom-monthly,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,tsmom-monthly__lookback-126,1.2266772018718177,4
tsmom-monthly,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,tsmom-monthly__lookback-126,1.3318018104464955,4
tsmom-monthly,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,tsmom-monthly__lookback-126,0.739479233146356,6
tsmom-monthly,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,tsmom-monthly__lookback-126,0.4850608125333673,6
donchian,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,donchian__entry-20-exit-10,-0.26786520884590026,12
donchian,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,donchian__entry-20-exit-10,-0.2267481970088004,13
donchian,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,donchian__entry-20-exit-10,-0.5349513023706081,12
donchian,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,donchian__entry-20-exit-10,0.4728504435318234,10
donchian,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,donchian__entry-20-exit-10,0.4157034486882828,9
donchian,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,donchian__entry-20-exit-10,0.561223508595312,9
donchian,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,donchian__entry-20-exit-10,0.4861919679908277,7
donchian,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,donchian__entry-20-exit-10,1.0082086973889837,9
donchian,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,donchian__entry-20-exit-10,1.160092707712527,10
donchian,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,donchian__entry-20-exit-10,1.2940741133965183,10
donchian,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,donchian__entry-20-exit-10,1.1708046900334947,13
bollinger-breakout,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,bollinger-breakout__period-20-width-1p5,0.043735648259545234,18
bollinger-breakout,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,bollinger-breakout__period-20-width-1,0.1634894527842298,25
bollinger-breakout,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,bollinger-breakout__period-20-width-2,-0.21049901410841979,8
bollinger-breakout,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,bollinger-breakout__period-20-width-2,0.8176101780628119,8
bollinger-breakout,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,bollinger-breakout__period-20-width-2,0.5067981191195465,11
bollinger-breakout,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,bollinger-breakout__period-20-width-2,0.6425889237669592,10
bollinger-breakout,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,bollinger-breakout__period-20-width-2,0.5086617750426959,9
bollinger-breakout,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,bollinger-breakout__period-50-width-1p5,1.0690944608730744,6
bollinger-breakout,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,bollinger-breakout__period-20-width-2,1.1778910340251525,12
bollinger-breakout,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,bollinger-breakout__period-20-width-1,1.2044269965380896,30
bollinger-breakout,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,bollinger-breakout__period-20-width-1,1.400269462837113,29
keltner-breakout,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,keltner-breakout__multiplier-2p5-period-20,-0.38594999526665513,7
keltner-breakout,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,keltner-breakout__multiplier-2p5-period-20,-0.38594999526665513,7
keltner-breakout,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,keltner-breakout__multiplier-2p5-period-20,-0.3408182832242565,6
keltner-breakout,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,keltner-breakout__multiplier-1p5-period-20,0.7156633752803871,12
keltner-breakout,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,keltner-breakout__multiplier-1p5-period-20,0.669164113656533,11
keltner-breakout,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,keltner-breakout__multiplier-1p5-period-20,0.7524583129315953,11
keltner-breakout,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,keltner-breakout__multiplier-1p5-period-20,0.7001400340333971,9
keltner-breakout,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,keltner-breakout__multiplier-1p5-period-20,1.1606559193007457,11
keltner-breakout,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,keltner-breakout__multiplier-1p5-period-20,1.2998547768177648,12
keltner-breakout,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,keltner-breakout__multiplier-1p5-period-20,1.3987114496433128,12
keltner-breakout,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,keltner-breakout__multiplier-1p5-period-20,1.4779257040321352,15
rsi-reversion,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,rsi-reversion__entry-10-exit-70-period-2,-0.16739836121533838,62
rsi-reversion,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,rsi-reversion__entry-10-exit-70-period-2,-0.13952975787542093,61
rsi-reversion,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,rsi-reversion__entry-30-exit-50-period-14,0.023577361878220453,10
rsi-reversion,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,rsi-reversion__entry-30-exit-50-period-14,0.2534933065576863,11
rsi-reversion,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,rsi-reversion__entry-25-exit-60-period-5,0.37865912787064804,35
rsi-reversion,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,rsi-reversion__entry-20-exit-60-period-5,0.6985565415082756,24
rsi-reversion,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,rsi-reversion__entry-20-exit-60-period-5,0.7217072533664752,27
rsi-reversion,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,rsi-reversion__entry-20-exit-60-period-5,0.7283154208655762,23
rsi-reversion,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,rsi-reversion__entry-30-exit-50-period-14,0.71974767832928,7
rsi-reversion,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,rsi-reversion__entry-30-exit-50-period-14,1.374402710159417,7
rsi-reversion,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,rsi-reversion__entry-30-exit-50-period-14,1.3744027101594167,6
stochastic-reversion,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,stochastic-reversion__entry-20-exit-80-period-5,-0.9925754635147042,54
stochastic-reversion,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,stochastic-reversion__entry-30-exit-70-period-5,-0.7887867423823286,73
stochastic-reversion,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,stochastic-reversion__entry-30-exit-70-period-5,-0.6251870737893753,78
stochastic-reversion,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,stochastic-reversion__entry-30-exit-70-period-5,-0.47949426547748913,76
stochastic-reversion,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,stochastic-reversion__entry-30-exit-70-period-5,-0.045124072294361675,79
stochastic-reversion,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,stochastic-reversion__entry-20-exit-80-period-5,-0.10323937962494494,58
stochastic-reversion,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,stochastic-reversion__entry-20-exit-80-period-5,-0.15384771117292928,57
stochastic-reversion,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,stochastic-reversion__entry-20-exit-80-period-5,0.31921859482674136,57
stochastic-reversion,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,stochastic-reversion__entry-30-exit-70-period-5,0.5922173269332616,80
stochastic-reversion,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,stochastic-reversion__entry-30-exit-70-period-5,0.7016923346116813,78
stochastic-reversion,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,stochastic-reversion__entry-30-exit-70-period-5,0.5493758549883613,73
cci-reversion,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,cci-reversion__entry-m150-exit-0-period-20,-0.8026464463043823,20
cci-reversion,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,cci-reversion__entry-m150-exit-0-period-40,-0.5801136088336681,10
cci-reversion,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,cci-reversion__entry-m100-exit-0-period-40,-0.26966579686043113,18
cci-reversion,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,cci-reversion__entry-m100-exit-0-period-40,0.5080748585176477,20
cci-reversion,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,cci-reversion__entry-m100-exit-0-period-40,0.6056443947563687,20
cci-reversion,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,cci-reversion__entry-m100-exit-0-period-40,0.9038767717202896,20
cci-reversion,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,cci-reversion__entry-m100-exit-0-period-40,0.9407185814667373,23
cci-reversion,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,cci-reversion__entry-m100-exit-0-period-40,1.4183992417062468,22
cci-reversion,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,cci-reversion__entry-m150-exit-0-period-40,1.3496097542595193,15
cci-reversion,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,cci-reversion__entry-m150-exit-0-period-40,1.5316040420087564,15
cci-reversion,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,cci-reversion__entry-m150-exit-0-period-40,1.6774318695063315,14
bollinger-reversion,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,bollinger-reversion__period-20-width-2p5,0.5686397114954957,7
bollinger-reversion,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,bollinger-reversion__period-20-width-2p5,0.1895738239929026,10
bollinger-reversion,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,bollinger-reversion__period-30-width-2,0.30598495592245545,14
bollinger-reversion,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,bollinger-reversion__period-30-width-2,0.5155263971823885,15
bollinger-reversion,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,bollinger-reversion__period-20-width-2,0.5330095974500612,24
bollinger-reversion,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,bollinger-reversion__period-10-width-2p5,0.46503656041269525,5
bollinger-reversion,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,bollinger-reversion__period-30-width-2,0.5770051546168072,17
bollinger-reversion,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,bollinger-reversion__period-30-width-2,0.7305006959360211,15
bollinger-reversion,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,bollinger-reversion__period-30-width-2,0.6934577537325748,15
bollinger-reversion,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,bollinger-reversion__period-30-width-2p5,1.1652221742139792,7
bollinger-reversion,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,bollinger-reversion__period-30-width-2p5,1.452588868068705,6
mfi-reversion,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,mfi-reversion__entry-20-exit-60-period-14,0.5168190338468066,13
mfi-reversion,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,mfi-reversion__entry-20-exit-60-period-14,0.2693285883283077,13
mfi-reversion,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,mfi-reversion__entry-20-exit-60-period-21,0.7424302563074499,7
mfi-reversion,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,mfi-reversion__entry-20-exit-60-period-21,0.7424302563074497,7
mfi-reversion,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,mfi-reversion__entry-20-exit-60-period-21,0.7890102582787473,5
mfi-reversion,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,mfi-reversion__entry-20-exit-60-period-14,0.8441092736249157,11
mfi-reversion,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,mfi-reversion__entry-20-exit-60-period-21,0.7890102582787473,5
mfi-reversion,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,mfi-reversion__entry-30-exit-70-period-14,0.9093157227973018,12
mfi-reversion,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,mfi-reversion__entry-30-exit-70-period-21,1.1494189655566245,8
mfi-reversion,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,mfi-reversion__entry-30-exit-70-period-21,1.3007776469728407,9
mfi-reversion,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,mfi-reversion__entry-30-exit-70-period-21,1.372533324048531,9
obv-trend,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,obv-trend__obv_period-10-price_period-50,-0.3645873899499035,51
