trade_date,m30-n4-w0.1,m30-n4-w0.2,m30-n4-w0.3,m34-n3-w0.1,m34-n3-w0.2,m34-n3-w0.3,m34-n4-w0.1,m34-n4-w0.2,m34-n4-w0.3,m40-n3-w0.1,m40-n3-w0.3,m40-n4-w0.1,m40-n4-w0.2,m40-n4-w0.3
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08,0.005487048089219293,0.005865001831293126,0.006142958674366428,-0.019534997298895074,-0.017855371232755046,-0.016392559310520083,-0.019534997298895074,-0.017855371232755046,-0.016392559310520083,-0.019534997298895074,-0.016392559310520083,-0.019534997298895074,-0.017855371232755046,-0.016392559310520083
2021-10-11,-0.003105510174463144,-0.0037309825461282475,-0.004219607923614976,-0.01318415238115389,-0.012968965697025436,-0.012781115188786663,-0.01318415238115389,-0.012968965697025436,-0.012781115188786663,-0.01318415238115389,-0.012781115188786663,-0.01318415238115389,-0.012968965697025436,-0.012781115188786663
2021-10-12,-0.008173387465919113,-0.007389460257966829,-0.006802091146060785,-0.011048450345905625,-0.010737799029244766,-0.010467481810746526,-0.011048450345905625,-0.010737799029244766,-0.010467481810746526,-0.011048450345905625,-0.010467481810746526,-0.011048450345905625,-0.010737799029244766,-0.010467481810746526
2021-10-13,0.012827475749548789,0.013255487249251852,0.013583912650802832,0.020809875192157046,0.018650405244348578,0.016777893107783992,0.020809875192157046,0.018650405244348578,0.016777893107783992,0.020809875192157046,0.016777893107783992,0.020809875192157046,0.018650405244348578,0.016777893107783992
2021-10-14,-0.006627465095040086,-0.006994644168477837,-0.007274222613948611,0.015568708970057132,0.015317894127147236,0.015098266717864073,0.015568708970057132,0.015317894127147236,0.015098266717864073,0.015568708970057132,0.015098266717864073,0.015568708970057132,0.015317894127147236,0.015098266717864073
2021-10-15,0.003286280872361047,0.0029341821865094264,0.002661829944847982,0.018287596901473968,0.01779628548509571,0.01736708542401999,0.018287596901473968,0.01779628548509571,0.01736708542401999,0.018287596901473968,0.01736708542401999,0.018287596901473968,0.01779628548509571,0.01736708542401999
2021-10-18,-0.013680509933513996,-0.014375827251759232,-0.01490213546899255,0.006383871174537203,0.0055552329049206595,0.004833059343680723,0.006383871174537203,0.0055552329049206595,0.004833059343680723,0.006383871174537203,0.004833059343680723,0.006383871174537203,0.0055552329049206595,0.004833059343680723
2021-10-19,0.011106848323575003,0.011440294034974485,0.011703980274339054,0.006515525681455747,0.007080733980359133,0.00757305902008798,0.006515525681455747,0.007080733980359133,0.00757305902008798,0.006515525681455747,0.00757305902008798,0.006515525681455747,0.007080733980359133,0.00757305902008798
2021-10-20,-0.0033564084338170153,-0.0034352137495139434,-0.003500505439410162,0.010674369161442154,0.00965172135103054,0.008759773549198213,0.010674369161442154,0.00965172135103054,0.008759773549198213,0.010674369161442154,0.008759773549198213,0.010674369161442154,0.00965172135103054,0.008759773549198213
2021-10-21,0.0023604392173264266,0.0018745172883956052,0.0014985697738276738,-0.009662685956226547,-0.008582089457651598,-0.00763796998012356,-0.009662685956226547,-0.008582089457651598,-0.00763796998012356,-0.009662685956226547,-0.00763796998012356,-0.009662685956226547,-0.008582089457651598,-0.00763796998012356
